bit_precision,adder,label,family,latency_ns,energy_nj,area_ge
23,loa,LOA,approximate,2.7743,0.087506,12.566
23,ccba,CCBA,approximate,2.9614,0.074671,12.402
23,trua,TruA,approximate,2.4912,0.07676,10.712
23,gear,GeAr,approximate,3.3031,0.104922,17.871
23,csa,CSA,approximate,3.5878,0.100699,16.56
24,full,Full (RCA),exact,5.934,0.169479,24.0
24,sklansky,Sklansky,exact,4.6,0.364389,51.601
24,kogge,Kogge-Stone,exact,4.271,0.78378,110.991
24,carrysel,Carry-Select,exact,4.342,0.46295,65.559
24,rbr,RBR,exact,2.194,0.733208,103.83
24,loa,LOA,approximate,2.9077,0.091531,13.176
24,ccba,CCBA,approximate,3.0857,0.078299,13.05
24,trua,TruA,approximate,2.611,0.080291,11.232
24,gear,GeAr,approximate,3.4417,0.109484,18.648
24,csa,CSA,approximate,3.7384,0.105077,17.28
25,full,Full (RCA),exact,6.173,0.176541,25.0
25,sklansky,Sklansky,exact,4.6,0.38082,53.928
25,kogge,Kogge-Stone,exact,4.271,0.845314,119.705
25,carrysel,Carry-Select,exact,4.342,0.48224,68.29
25,rbr,RBR,exact,2.194,0.763758,108.156
25,loa,LOA,approximate,3.0413,0.095557,13.786
25,ccba,CCBA,approximate,3.21,0.081959,13.707
25,trua,TruA,approximate,2.731,0.083822,11.752
25,gear,GeAr,approximate,3.5803,0.120048,21.0
25,csa,CSA,approximate,3.889,0.109455,18.0
26,full,Full (RCA),exact,6.412,0.183602,26.0
26,sklansky,Sklansky,exact,4.6,0.397272,56.258
26,kogge,Kogge-Stone,exact,4.271,0.910247,128.9
26,carrysel,Carry-Select,exact,4.342,0.50153,71.022
26,rbr,RBR,exact,2.194,0.794308,112.482
26,loa,LOA,approximate,3.1591,0.098948,14.213
26,ccba,CCBA,approximate,3.3342,0.085651,14.373
26,trua,TruA,approximate,2.8367,0.086796,12.116
26,gear,GeAr,approximate,3.719,0.12485,21.84
26,csa,CSA,approximate,4.0396,0.113834,18.72
27,full,Full (RCA),exact,6.651,0.190664,27.0
27,sklansky,Sklansky,exact,4.6,0.413744,58.59
27,kogge,Kogge-Stone,exact,4.271,0.978712,138.596
27,carrysel,Carry-Select,exact,4.342,0.520819,73.753
27,rbr,RBR,exact,2.194,0.824859,116.809
27,loa,LOA,approximate,3.2936,0.102973,14.823
27,ccba,CCBA,approximate,3.4585,0.089374,15.048
27,trua,TruA,approximate,2.9575,0.090327,12.636
27,gear,GeAr,approximate,3.8576,0.129652,22.68
27,csa,CSA,approximate,4.1901,0.118212,19.44
28,full,Full (RCA),exact,6.89,0.197726,28.0
28,sklansky,Sklansky,exact,4.6,0.430235,60.926
28,kogge,Kogge-Stone,exact,4.271,1.050842,148.81
28,carrysel,Carry-Select,exact,4.342,0.540109,76.485
28,rbr,RBR,exact,2.194,0.855409,121.135
28,loa,LOA,approximate,3.4284,0.106998,15.433
28,ccba,CCBA,approximate,3.5828,0.093129,15.732
28,trua,TruA,approximate,3.0786,0.093858,13.156
28,gear,GeAr,approximate,3.9962,0.134453,23.52
28,csa,CSA,approximate,4.3407,0.12259,20.16
29,full,Full (RCA),exact,7.129,0.204787,29.0
