bit_precision,multiplier,label,family,latency_ns,energy_nj,area_ge
14,ilm_aa,ILM-AA,approximate,44.9519,0.5347,105.693
14,cgpm1,CGPM1,approximate,29.0463,0.999273,94.942
14,tam1,TAM1,approximate,24.5148,0.72081,75.152
14,hocm,HOCM (1StepTrunc),approximate,27.8802,0.844456,85.26
14,cgpm3,CGPM3,approximate,33.1258,1.163965,119.785
14,bam,BAM,approximate,19.7611,0.445258,42.621
15,full,Full (RC Array),exact,117.551,2.089529,225.0
15,sklansky,Sklansky,exact,68.617,7.375367,794.178
15,carrysel,Carry-Select,exact,69.825,7.375367,794.178
15,rbr,RBR,exact,85.8,4.451317,479.317
15,mitchell,Mitchell,approximate,13.932,0.423698,60.0
15,alm_soa,ALM-SOA,approximate,15.5748,0.473403,75.836
15,ilm_aa,ILM-AA,approximate,45.1209,0.575196,113.951
15,cgpm1,CGPM1,approximate,31.7559,1.15786,109.935
15,tam1,TAM1,approximate,26.8018,0.817647,85.14
15,hocm,HOCM (1StepTrunc),approximate,30.4811,0.966755,96.9
15,cgpm3,CGPM3,approximate,36.2161,1.346114,138.369
15,bam,BAM,approximate,21.9025,0.52286,49.785
16,full,Full (RC Array),exact,134.015,2.382185,256.0
16,sklansky,Sklansky,exact,74.56,8.40221,902.938
16,carrysel,Carry-Select,exact,77.232,8.40221,902.938
16,rbr,RBR,exact,91.648,4.999373,537.254
16,mitchell,Mitchell,approximate,13.932,0.451944,64.0
16,alm_soa,ALM-SOA,approximate,15.6038,0.50663,81.216
16,ilm_aa,ILM-AA,approximate,45.279,0.616,122.304
16,cgpm1,CGPM1,approximate,34.5064,1.329259,126.157
16,tam1,TAM1,approximate,29.4956,0.942392,97.856
16,hocm,HOCM (1StepTrunc),approximate,33.552,1.107716,111.36
16,cgpm3,CGPM3,approximate,39.3528,1.542465,158.413
16,bam,BAM,approximate,23.5516,0.586915,55.895
17,full,Full (RC Array),exact,151.557,2.694003,289.0
17,sklansky,Sklansky,exact,80.623,9.495862,1018.671
17,carrysel,Carry-Select,exact,84.983,9.495862,1018.671
17,rbr,RBR,exact,97.512,5.578841,598.472
17,mitchell,Mitchell,approximate,17.084,0.480191,68.0
17,alm_soa,ALM-SOA,approximate,19.1676,0.540065,86.636
17,ilm_aa,ILM-AA,approximate,55.7051,0.657111,130.751
17,cgpm1,CGPM1,approximate,35.7751,1.513693,143.633
17,tam1,TAM1,approximate,31.8941,1.052626,109.208
17,hocm,HOCM (1StepTrunc),approximate,36.6913,1.258258,126.82
17,cgpm3,CGPM3,approximate,41.15,1.753207,179.939
17,bam,BAM,approximate,25.7709,0.675495,64.061
18,full,Full (RC Array),exact,170.177,3.024983,324.0
18,sklansky,Sklansky,exact,86.803,10.65632,1141.378
18,carrysel,Carry-Select,exact,93.078,10.65632,1141.378
18,rbr,RBR,exact,103.392,6.189721,662.969
18,mitchell,Mitchell,approximate,17.084,0.508438,72.0
18,alm_soa,ALM-SOA,approximate,19.1991,0.573708,92.097
18,ilm_aa,ILM-AA,approximate,55.8768,0.69853,139.293
18,cgpm1,CGPM1,approximate,38.5174,1.711384,162.389
18,tam1,TAM1,approximate,34.7268,1.193591,123.552
18,hocm,HOCM (1StepTrunc),approximate,39.5038,1.406617,140.94
18,cgpm3,CGPM3,approximate,44.3043,1.978528,202.97
18,bam,BAM,approximate,27.4876,0.748082,70.967
19,full,Full (RC Array),exact,189.875,3.375125,361.0
19,sklansky,Sklansky,exact,93.098,11.883579,1271.056
19,carrysel,Carry-Select,exact,101.517,11.883579,1271.056
19,rbr,RBR,exact,109.288,6.832015,730.745
19,mitchell,Mitchell,approximate,17.084,0.536684,76.0
19,alm_soa,ALM-SOA,approximate,19.229,0.60756,97.598
19,ilm_aa,ILM-AA,approximate,56.0392,0.740255,147.929
19,cgpm1,CGPM1,approximate,41.3107,1.922556,182.449
19,tam1,TAM1,approximate,37.2452,1.317222,136.268
19,hocm,HOCM (1StepTrunc),approximate,42.3687,1.563216,155.8
19,cgpm3,CGPM3,approximate,47.5172,2.218617,227.529
19,bam,BAM,approximate,29.7914,0.847639,80.134
20,full,Full (RC Array),exact,210.651,3.744429,400.0
20,sklansky,Sklansky,exact,99.505,13.177636,1407.706
20,carrysel,Carry-Select,exact,110.3,13.177636,1407.706
20,rbr,RBR,exact,115.2,7.505721,801.801
20,mitchell,Mitchell,approximate,17.084,0.564931,80.0
20,alm_soa,ALM-SOA,approximate,19.2573,0.64162,103.14
20,ilm_aa,ILM-AA,approximate,56.1933,0.782288,156.66
20,cgpm1,CGPM1,approximate,44.1537,2.14743,203.84
20,tam1,TAM1,approximate,40.2107,1.474406,152.24
20,hocm,HOCM (1StepTrunc),approximate,45.7383,1.741159,174.0
20,cgpm3,CGPM3,approximate,50.7874,2.473663,253.64
20,bam,BAM,approximate,31.5729,0.928759,87.836
21,full,Full (RC Array),exact,232.505,4.132895,441.0
21,sklansky,Sklansky,exact,106.023,14.538488,1551.327
21,carrysel,Carry-Select,exact,119.427,14.538488,1551.327
21,rbr,RBR,exact,121.128,8.210839,876.136
21,mitchell,Mitchell,approximate,17.084,0.593177,84.0
21,alm_soa,ALM-SOA,approximate,19.2842,0.675888,108.722
21,ilm_aa,ILM-AA,approximate,56.3398,0.824627,165.485
21,cgpm1,CGPM1,approximate,47.0459,2.38623,226.586
21,tam1,TAM1,approximate,43.236,1.640405,169.092
21,hocm,HOCM (1StepTrunc),approximate,49.1717,1.928684,193.2
21,cgpm3,CGPM3,approximate,54.1141,2.743855,281.325
21,bam,BAM,approximate,33.3821,1.013309,95.897
22,full,Full (RC Array),exact,255.437,4.540523,484.0
22,sklansky,Sklansky,exact,112.649,15.966132,1701.92
22,carrysel,Carry-Select,exact,128.898,15.966132,1701.92
22,rbr,RBR,exact,127.072,8.94737,953.751
22,mitchell,Mitchell,approximate,17.084,0.621424,88.0
22,alm_soa,ALM-SOA,approximate,19.3099,0.710365,114.345
22,ilm_aa,ILM-AA,approximate,56.4796,0.867274,174.405
22,cgpm1,CGPM1,approximate,49.9861,2.639179,250.712
22,tam1,TAM1,approximate,45.938,1.784838,183.92
22,hocm,HOCM (1StepTrunc),approximate,52.2447,2.111343,210.54
22,cgpm3,CGPM3,approximate,57.496,3.02938,310.607
22,bam,BAM,approximate,35.8019,1.128946,106.503
23,full,Full (RC Array),exact,279.447,4.967313,529.0
23,sklansky,Sklansky,exact,119.382,17.460564,1859.484
23,carrysel,Carry-Select,exact,138.713,17.460564,1859.484
23,rbr,RBR,exact,133.032,9.715314,1034.644
23,mitchell,Mitchell,approximate,17.084,0.64967,92.0
23,alm_soa,ALM-SOA,approximate,19.3344,0.74505,120.008
23,ilm_aa,ILM-AA,approximate,56.6131,0.910229,183.419
23,cgpm1,CGPM1,approximate,52.9738,2.906499,276.244
23,tam1,TAM1,approximate,49.089,1.967056,202.4
23,hocm,HOCM (1StepTrunc),approximate,55.3673,2.302242,228.62
23,cgpm3,CGPM3,approximate,60.9326,3.330428,341.509
23,bam,BAM,approximate,37.6728,1.222027,115.359
24,full,Full (RC Array),exact,304.535,5.413265,576.0
24,sklansky,Sklansky,exact,126.221,19.021782,2024.018
24,carrysel,Carry-Select,exact,148.872,19.021782,2024.018
24,rbr,RBR,exact,139.008,10.51467,1118.816
24,mitchell,Mitchell,approximate,17.084,0.677917,96.0
24,alm_soa,ALM-SOA,approximate,19.3579,0.779943,125.712
24,ilm_aa,ILM-AA,approximate,56.741,0.95349,192.528
24,cgpm1,CGPM1,approximate,56.0085,3.188413,303.206
24,tam1,TAM1,approximate,51.9012,2.124887,218.592
24,hocm,HOCM (1StepTrunc),approximate,59.0145,2.517168,250.56
24,cgpm3,CGPM3,approximate,64.4232,3.647187,374.054
24,bam,BAM,approximate,40.1698,1.348642,126.966
25,full,Full (RC Array),exact,330.701,5.878379,625.0
25,sklansky,Sklansky,exact,133.163,20.649785,2195.523
25,carrysel,Carry-Select,exact,159.375,20.649785,2195.523
25,rbr,RBR,exact,145.0,11.345439,1206.268
25,mitchell,Mitchell,approximate,17.084,0.706163,100.0
25,alm_soa,ALM-SOA,approximate,19.3805,0.815045,131.456
25,ilm_aa,ILM-AA,approximate,56.8636,0.997058,201.731
25,cgpm1,CGPM1,approximate,57.8194,3.485144,331.625
25,tam1,TAM1,approximate,55.1743,2.323323,238.7
25,hocm,HOCM (1StepTrunc),approximate,62.7215,2.741676,273.5
25,cgpm3,CGPM3,approximate,66.8079,3.979846,408.266
25,bam,BAM,approximate,42.1008,1.450256,136.619
26,full,Full (RC Array),exact,357.945,6.362655,676.0
26,sklansky,Sklansky,exact,140.208,22.344569,2373.998
26,carrysel,Carry-Select,exact,170.222,22.344569,2373.998
26,rbr,RBR,exact,151.008,12.207621,1296.998
26,mitchell,Mitchell,approximate,17.084,0.73441,104.0
26,alm_soa,ALM-SOA,approximate,19.4021,0.850355,137.241
26,ilm_aa,ILM-AA,approximate,56.9814,1.040934,211.029
26,cgpm1,CGPM1,approximate,60.8783,3.796914,361.525
26,tam1,TAM1,approximate,58.0933,2.494552,256.256
26,hocm,HOCM (1StepTrunc),approximate,66.0398,2.958635,294.06
26,cgpm3,CGPM3,approximate,70.3424,4.328594,444.166
26,bam,BAM,approximate,44.6724,1.587847,149.227
27,full,Full (RC Array),exact,386.267,6.866093,729.0
27,sklansky,Sklansky,exact,147.355,24.106133,2559.443
27,carrysel,Carry-Select,exact,181.413,24.106133,2559.443
27,rbr,RBR,exact,157.032,13.101215,1391.007
27,mitchell,Mitchell,approximate,17.084,0.762656,108.0
27,alm_soa,ALM-SOA,approximate,19.423,0.885873,143.066
27,ilm_aa,ILM-AA,approximate,57.0948,1.085117,220.421
27,cgpm1,CGPM1,approximate,63.9815,4.123947,392.931
27,tam1,TAM1,approximate,61.4857,2.709208,277.992
27,hocm,HOCM (1StepTrunc),approximate,69.4061,3.183833,315.36
27,cgpm3,CGPM3,approximate,73.928,4.693618,481.778
27,bam,BAM,approximate,46.6624,1.697994,159.676
28,full,Full (RC Array),exact,415.667,7.388693,784.0
28,sklansky,Sklansky,exact,154.602,25.934476,2751.857
28,carrysel,Carry-Select,exact,192.948,25.934476,2751.857
28,rbr,RBR,exact,163.072,14.026222,1488.295
28,mitchell,Mitchell,approximate,17.084,0.790903,112.0
28,alm_soa,ALM-SOA,approximate,19.443,0.9216,148.932
28,ilm_aa,ILM-AA,approximate,57.204,1.129607,229.908
28,cgpm1,CGPM1,approximate,67.1282,4.466465,425.869
28,tam1,TAM1,approximate,64.5096,2.893834,296.912
28,hocm,HOCM (1StepTrunc),approximate,73.3155,3.435742,341.04
28,cgpm3,CGPM3,approximate,77.5638,5.075109,521.125
28,bam,BAM,approximate,49.307,1.846562,173.285
29,full,Full (RC Array),exact,446.145,7.930455,841.0
29,sklansky,Sklansky,exact,161.949,27.829595,2951.242
29,carrysel,Carry-Select,exact,204.827,27.829595,2951.242
29,rbr,RBR,exact,169.128,14.982641,1588.862
29,mitchell,Mitchell,approximate,17.084,0.819149,116.0
29,alm_soa,ALM-SOA,approximate,19.4624,0.957534,154.838
29,ilm_aa,ILM-AA,approximate,57.3094,1.174404,239.489
29,cgpm1,CGPM1,approximate,70.3183,4.824691,460.363
29,tam1,TAM1,approximate,68.0186,3.124709,320.276
29,hocm,HOCM (1StepTrunc),approximate,77.2832,3.697233,367.72
29,cgpm3,CGPM3,approximate,81.2498,5.473253,562.23
29,bam,BAM,approximate,51.3546,1.965242,184.531
30,full,Full (RC Array),exact,477.701,8.491379,900.0
30,sklansky,Sklansky,exact,169.394,29.79149,3157.596
30,carrysel,Carry-Select,exact,217.05,29.79149,3157.596
30,rbr,RBR,exact,175.2,15.970473,1692.708
30,mitchell,Mitchell,approximate,17.084,0.847396,120.0
30,alm_soa,ALM-SOA,approximate,19.4811,0.993678,160.785
30,ilm_aa,ILM-AA,approximate,57.4112,1.219509,249.165
30,cgpm1,CGPM1,approximate,73.5509,5.198847,496.44
30,tam1,TAM1,approximate,71.1455,3.322733,340.56
30,hocm,HOCM (1StepTrunc),approximate,80.836,3.948491,391.5
30,cgpm3,CGPM3,approximate,84.985,5.888241,605.115
30,bam,BAM,approximate,54.0706,2.124786,199.141
31,full,Full (RC Array),exact,510.335,9.071465,961.0
31,sklansky,Sklansky,exact,176.937,31.820157,3370.919
31,carrysel,Carry-Select,exact,229.617,31.820157,3370.919
31,rbr,RBR,exact,181.288,16.989718,1799.833
31,mitchell,Mitchell,approximate,17.084,0.875642,124.0
31,alm_soa,ALM-SOA,approximate,19.4992,1.030029,166.772
31,ilm_aa,ILM-AA,approximate,57.5097,1.26492,258.935
